OUTLET,MENU,APLIKASI
AGN UM,Ayam Bakar ,GOJEK
AGN UM,Lele Goreng ,GOJEK
AGN UM,Lele Bakar ,GOJEK
AGN UM,Jamur Krispi,GOJEK
AGN UM,Cah Kangkung,GOJEK
AGN UM,Es Mega Mendung,GOJEK
AGN TUREN,Mie Halu level 0,GOJEK
AGN TUREN,Ayam Bakar ,GOJEK
AGN TUREN,Mie Bucin level 0,GOJEK
AGN TUREN,FG Paket Wings Melet + Es Teh,GOJEK
AGN TUREN,Ayam Makmur,GOJEK
AGN TUREN,PK Geprek S.Bwg,GOJEK
AGN TUREN,Mie Halu level 0,GOJEK
AGN TUREN,Mie Bucin level 0,GOJEK
AGN TUREN,Ayam Bakar ,GOJEK
AGN TUREN,Kulit Krenyes,GOJEK
AGN TUREN,Kulit Krenyes,GOJEK
AGN TUREN,Es Mega Mendung,GOJEK
SMB BATU,Klepon,GOJEK
SMB BATU,Menantea Sunset,GOJEK
SMB BATU,Smoothies Melon,GOJEK
SMB BATU,Smoothies Apel,GOJEK
SMB BATU,Croffle Original,GOJEK
SMB BATU,Croffle Original 3 Pcs,GOJEK
SMB BATU,Croffle Original 6 Pcs,GOJEK
SMB BATU,Croffle Original 9 Pcs,GOJEK
SMB BATU,Croffle Caramel 3 Pcs,GOJEK
SMB BATU,Croffle Caramel 6 Pcs,GOJEK
SMB BATU,Croffle Caramel 9 Pcs,GOJEK
SMB BATU,Croffle Cinnamon 3 Pcs,GOJEK
SMB BATU,Croffle Cinnamon 6 Pcs,GOJEK
SMB BATU,Croffle Cinnamon 9 Pcs,GOJEK
SMB BATU,Cheese Origano,GOJEK
SMB BATU,Mozza Croffle,GOJEK
SMB BATU,Sandwich Croffle,GOJEK
SMB KEPANJEN,OUTLET TUTUP,GOJEK
SMB SUHAT II,OUTLET TUTUP,GOJEK
SS CANDI PANGGUNG,OUTLET TUTUP,GOJEK
SS BATU,OUTLET TUTUP,GOJEK
SS SAWOJAJAR,OUTLET TUTUP,GOJEK
SS SIGURA,OUTLET TUTUP,GOJEK
